"ID","product","time","user","aspect","norm_asp","polarity","norm_pol","sarst","clause","entities","op_hol"
"1.1.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","camera","camera","positive","1","AFFECTIVE-REACTION","This camera is perfect for an enthusiastic amateur photographer","amateur","Author"
"1.2.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","pictures","pictures","positive","1","STATEMENT","The pictures are razor-sharp","","Author"
"1.2.2","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","macro","macro","positive","1","STATEMENT","The pictures are razor-sharp , even in macro","","Author"
"1.3.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","size","size","positive","1","AFFECTIVE-REACTION","It is small enough to fit easily in a coat pocket or purse","","Author"
"1.4.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","weight","weight","positive","1","AFFECTIVE-REACTION","It is light enough to carry around all day without bother","day","Author"
"1.5.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","feature","feature","positive","1","AFFECTIVE-REACTION","Operating its many features is easy and often obvious","features","Author"
"1.6.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","manual","manual","positive","1","AFFECTIVE-REACTION","The manual does a fine job filling in any blanks that remain","manual","Author"
"1.7.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","auto-focus","auto focus","neutral","0","STATEMENT","The auto-focus performs well","","Author"
"1.7.2","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","scene modes","scene modes","positive","1","SENTIMENT","i love having the 12 optional scene modes","","Author"
"1.8.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","rechargeable battery","battery","positive","1","AFFECTIVE-REACTION","one rechargeable battery the charging unit, included, is fast and small","","Author"
"1.9.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","memory card","memory card","neutral","0","STATEMENT","I bought a 256 mb cf and a second battery , so it 's good to go on a long vacation","","Author"
"1.9.2","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","battery","battery","positive","1","STATEMENT","I bought a 256 mb cf and a second battery , so it 's good to go on a long vacation","","Author"
"1.10.1","Nikon Coolpix 4300","2024-05-02T10:33:05.423Z","User-8l4EL","camera","camera","positive","1","AFFECTIVE-REACTION","I enthusiastically recommend this camera","camera","Author"
"2.1.1","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","camera","camera","neutral","0","STATEMENT","I got my camera three days back","","Author"
"2.1.2","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","experience","experience","neutral","0","STATEMENT","i had some experience with digital cameras prior to purchasing this one","","Author"
"2.1.3","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","level","level","neutral","0","STATEMENT","i still rate myself as a beginner","","Author"
"2.2.1","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","camera","camera","neutral","0","STATEMENT","I bought this camera because it fit my budget","production","Author"
"2.2.2","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","budget","price","neutral","0","STATEMENT","because it fit my budget","production","Author"
"2.2.3","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","reviews","reviews","positive","1","STATEMENT","the pre-production and production model reviews were positive","production","Author"
"2.3.1","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","camera","camera","positive","1","AFFECTIVE-REACTION","It's easy to use","","Author"
"2.3.2","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","use","usability","positive","1","AFFECTIVE-REACTION","It's easy to use","","Author"
"2.3.3","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","feature","feature","positive","1","AFFECTIVE-REACTION","yet very feature rich","","Author"
"2.4.1","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","auto mode","auto mode","neutral","0","STATEMENT","In the auto mode it functions basically as a point and click","scene","Author"
"2.4.2","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","scene mode","scene mode","positive","1","AFFECTIVE-REACTION","the scene modes are very easy to use and produce good results","scene","Author"
"2.5.1","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","manual mode","manual mode","positive","1","AFFECTIVE-REACTION","The manual mode is feature rich","mode","Author"
